pc	word	identity	result	post_pc	post_next_pc	post_count	committed_steps
0xA4000BB4	0x14BB0003	Bne r5,r27,0xA4000BC4	committed_taken	0xA4000BB8	0xA4000BC4	32243	32259
0xA4000BB8	0xAEAF0000	Sw r15,0(r21)	committed_exact_request	0xA4000BC4	0xA4000BC8	32244	32260
0xA4000BC4	0x8FBF001C	Lw r31,0x1C(r29)	committed	0xA4000BC8	0xA4000BCC	32245	32261
0xA4000BC8	0x27BD0028	Addiu r29,r29,0x28	committed	0xA4000BCC	0xA4000BD0	32246	32262
0xA4000BCC	0x03E00008	Jr r31	committed	0xA4000BD0	0xA4000A24	32247	32263
0xA4000BD0	0x00000000	Nop	committed_delay_slot	0xA4000A24	0xA4000A28	32248	32264
0xA4000A24	0x0000F025	Or r30,r0,r0	committed	0xA4000A28	0xA4000A2C	32249	32265
0xA4000A28	0x241AFFFF	Addiu r26,r0,-1	committed	0xA4000A2C	0xA4000A30	32250	32266
0xA4000A2C	0xAE9A0000	Sw r26,0(r20)	unexecuted_authority_boundary	-	-	-	-
